context,question,answer,exact_answer,type
"Instead, cLADs are universally characterized by long stretches of DNA of high A/T content. Cell-type specific LADs also tend to adhere to this ""A/T rule"" in embryonic stem cells, but not in differentiated cells. This suggests that the A/T rule represents a default positioning mechanism that is locally overruled during lineage commitment. Analysis of paralogs suggests that during evolution changes in A/T content have driven the relocation of genes to and from the nuclear lamina, in tight association with changes in expression level
Constitutive nuclear lamina-genome interactions are highly conserved and associated with A/T-rich sequence.
In metazoans, the nuclear lamina is thought to play an important role in the spatial organization of interphase chromosomes, by providing anchoring sites for large genomic segments named lamina-associated domains (LADs). Some of these LADs are cell-type specific, while many others appear constitutively associated with the lamina. Constitutive LADs (cLADs) may contribute to a basal chromosome architecture. By comparison of mouse and human lamina interaction maps, we find that the sizes and genomic positions of cLADs are strongly conserved. Moreover, cLADs are depleted of synteny breakpoints, pointing to evolutionary selective pressure to keep cLADs intact. Paradoxically, the overall sequence conservation is low for cLADs. Instead, cLADs are universally characterized by long stretches of DNA of high A/T content. Cell-type specific LADs also tend to adhere to this ""A/T rule"" in embryonic stem cells, but not in differentiated cells. This suggests that the A/T rule represents a default positioning mechanism that is locally overruled during lineage commitment. Analysis of paralogs suggests that during evolution changes in A/T content have driven the relocation of genes to and from the nuclear lamina, in tight association with changes in expression level.
",What is the nucleotide composition of the Lamin Associated Domains (LADs)?,"Instead, cLADs are universally characterized by long stretches of DNA of high A/T content. This suggests that the A/T rule represents a default positioning mechanism that is locally overruled during lineage commitment.",A/T rich sequences,factoid
"Clathrin assembles into triskelia composed of three clathrin heavy chains and associated clathrin light chains (CLCs).
A principal component in the protein coats of certain post-golgi and endocytic vesicles is clathrin, which appears as a three-legged heteropolymer (known as a triskelion) that assembles into polyhedral cages principally made up of pentagonal and hexagonal faces.
The clathrin triskelion, which is a three-legged pinwheel-shaped heteropolymer, is a major component in the protein coats of certain post-Golgi and endocytic vesicles.
",What is the clathrin triskelia structure?,"The clathrin triskelion, which is a three-legged pinwheel-shaped heteropolymer, is a major component in the protein coats of certain post-Golgi and endocytic vesicles.",A three-legged pinwheel-shaped heteropolymer.,factoid
"Myelination is a recent evolutionary addition that significantly enhances the speed of transmission in the neural network.
. Myelin is only formed by fully differentiated oligodendrocytes, but the entire oligodendrocyte lineage are clear targets of the altered chemistry of the aging brain
Formation of myelin sheaths by Schwann cells (SCs) enables rapid and efficient transmission of action potentials in peripheral axons, and disruption of myelination results in disorders that involve decreased sensory and motor functions.
Myelin is a specialized structure of the nervous system that both enhances electrical conductance and insulates neurons from external risk factors.
polarized oligodendrocytes form myelin by wrapping processes in a spiral pattern around neuronal axons through myelin-related gene regulation.
Myelin - the multilayer membrane that envelops axons - is a facilitator of rapid nerve conduction.
Myelin allows for the rapid and precise timing of action potential propagation along neuronal circuits and is essential for healthy auditory system function.
Myelin sheaths in the vertebrate nervous system enable faster impulse propagation, while myelinating glia provide vital support to axons.
Myelin consists of tightly compacted membranes that form an insulating sheath around axons
Myelin is a biologically active mutilamellar that is formed by oligodendrocytes (OLs) in the central nervous system (CNS) and ensheathes axons
The myelin sheath is a multilayered membrane in the nervous system, which has unique biochemical properties. Myelin carries a set of specific high-abundance proteins, the structure and function of which are still poorly understood
",What is myelin?,Myelin is a specialized structure of the nervous system that covers the neuron and both enhances electrical conductance and insulates neurons from external risk factors.,,summary
". Brucellosis is a major cause of pyrexia of unknown origin (PUO)
Brucellosis is the most common bacterial zoonosis, and causes a considerable burden of disease in endemic countries. Cardiovascular involvement is the main cause of mortality due to infection with Brucella spp,
quite abruptly, he developed asthenia and hypersomnia without any apparent cause or symptoms like fever, chills, or night sweats. On November 14, 2009, he suffered from pain and edema in the right testicle that coincided with pain in the abdomen. Clinical, serological, and bacteriological investigations confirmed the first case of unilateral orchitis in man in Ecuador caused by Brucella abortus biovar 1
Brucellosis is not frequent in Chile but it may present with life threatening complications like endocarditis.
Human brucellosis exhibits diverse pathological manifestations that can affect almost any organ. In particular, osteoarticular complications are the most common focal manifestation of brucellosis and occur in 40-80% of patients.
Brucella. Human brucellosis often makes the diagnosis difficult. The symptoms and clinical signs most commonly reported are fever, fatigue, malaise, chills, sweats headaches, myalgia, arthralgia, and weight loss. Some cases have been presented with only joint pain, lower backache, and involuntary limb movement, burning feet, or ischemic heart attacks.
Forty-five cases were collected (31 acute and 14 sub-acute). Contamination was digestive in 62%. Symptoms of patients were fever (93%), sweating (82%), arthralgia (78%) and splenomegaly (51%). Elevated erythrocyte sedimentation rate was determined in 80%, leukopenia in 49% and anaemia in 37% of cases. Blood cultures were positives in 39% of cases. The four sequenced strains were identified as Brucella melitensis biovar abortus.
It is also known to cause persistent undulant fever, endocarditis, arthritis, osteomyelitis and meningitis in humans.
Brucella abortus is a Gram-negative intracellular bacterial pathogen that causes a zoonosis of worldwide occurrence, leading to undulant fever in humans and abortion in domestic animals.
Brucella abortus is a facultative intracellular bacterial pathogen that causes abortion in domestic animals and undulant fever in humans.
Brucella abortus is a facultative, intracellular zoonotic pathogen which can cause undulant fever in humans and abortions in cattle.
Brucella abortus is a Gram-negative, facultative intracellular bacterium that causes brucellosis, a worldwide zoonotic disease leading to undulant fever in humans and abortion in cattle.
Brucella abortus is a facultative intracellular bacterial pathogen that causes abortion in domestic animals and undulant fever in humans.
Brucella abortus is a gram-negative, facultative intracellular pathogen that causes brucellosis, a chronic zoonotic disease resulting in abortion in pregnant cattle and undulant fever in humans.
Brucella abortus is a bacterium which causes abortions and infertility in cattle and undulant fever in humans.
Brucella abortus is the etiologic agent of bovine brucellosis and causes a chronic disease in humans known as undulant fever.
No case of acute Brucella infection was demonstrated; however, there were 5 cases in which the serological finding was consistent with chronic brucellosis (4%). In all these cases no positive evidence of close animal contact could be found; furthermore of the 12,1% of women who actually handled domestic animals, only 1 had a history of previous abortion
",Is Brucella abortus the organism that causes brucillosis known to cause spontaneous abortions in humans?,"Human brucellosis symptoms and clinical signs most commonly reported are fever, fatigue, malaise, chills, sweats headaches, myalgia, arthralgia, and weight loss. Some cases have been presented with only joint pain, lower backache, and involuntary limb movement, burning feet, or ischemic heart attacks.",no,yesno
"We find that the power to reject ancient admixture might be particularly low if the population size of Homo sapiens was comparable to the Neanderthal population size.
Our results indicate that 3.6% of the Neanderthal genome is shared with roughly 65.4% of the average European gene pool, which clinally diminishes with distance from Europe.
Here, we present evidence of Neanderthal introgression within the chromosome 3p21.31 region, occurring with a high frequency in East Asians (ranging from 49.4% to 66.5%) and at a low frequency in Europeans.
This introgression was under positive natural selection, reached a frequency of>50%, and introduced a homocysteine level- and pigmentation-associated allele (rs460879-T) into East Asians.
Hybridization between humans and Neanderthals has resulted in a low level of Neanderthal ancestry scattered across the genomes of many modern-day humans.
This work suggests that differences in effective population size may play a far more important role in shaping levels of introgression than previously thought.
Approximately 2-4% of genetic material in human populations outside Africa is derived from Neanderthals who interbred with anatomically modern humans.
",What percentage of Homo sapiens DNA is of Neanderthal origin?,"We find that the power to reject ancient admixture might be particularly low if the population size of Homo sapiens was comparable to the Neanderthal population size. Our results indicate that 3.6% of the Neanderthal genome is shared with roughly 65.4% of the average European gene pool, which clinally diminishes with distance from Europe.",2-4%,factoid
"Dupuytren's disease as a benign fibroproliferative disease leads to hyperplasia of the collagen fibers of the fascia of the palm, which can result in severe impairment of the functionality of the hand.
Dupuytren disease is a benign fibroproliferative disease of the palmar aponeurosis, which can cause considerable functional deficiencies for the person concerned
Dupuytren's contracture is a common hand problem that affects the palmar fascia.
Dupuytren's contractures are fibrous cords under the skin of the palm of the hand. The contractures are painless but cause one or more fingers to curl into the palm, resulting in loss of function
Dupuytren's contracture is a connective tissue disorder characterized by contractile palmar aponeurosis leading to shortening and progressive digital flexion deformity.
PURPOSE Dupuytren's contracture is a fibroproliferative disorder of the hand characterized by an abnormal myofibroblast and fibroblast proliferation and extracellular matrix deposition leading to retraction and deformation of the palm.
Dupuytren's contracture is a condition of the palmar fascia involving contractures of the fascia and skin in the hand.
",What is Dupuytren's contracture?,"Dupuytren's contracture is a progressive hand condition that affects how much you can move or straighten your fingers. It is a benign fibroproliferative disease leads to hyperplasia of the collagen fibers of the fascia of the palm, which can result in severe impairment of the functionality of the hand.",,summary
"An additional three low-penetrance alleles V60L, V92M, and R163Q have odds ratios 6, 5, and 2 relative to the wild-type allele.
Genetic association and cellular function of MC1R variant alleles in human pigmentation.
We have investigated 174 individuals from 11 large kindreds with a preponderance of red hair and an additional 99 unrelated redheads, for MC1R variants and have confirmed that red hair is usually inherited as a recessive characteristic with the R151C, R160W, D294H, R142H, 86insA and 537insC alleles at this locus. The V60L variant, which is common in the population may act as a partially penetrant recessive allele.
In vitro expression studies revealed that variant receptors with reduced cell surface expression, including V60L, D84E, R151C, I155T, R160W and R163Q, showed a corresponding impairment in cAMP coupling.
Among the fifteen MC1R variants identified, the nine most common were V60L, V92M, R151C, R160W, R163Q, R142H, D294H, D84E, and I155T.
Both of these Thr(111)/Ala(111) heterozygotes carried a single polymorphism of MC1R (one with the V92M variant and another with the V60L variant)
The V60L-/- homozygote r variant cells showed similar responses to ligand as WT MC1R strains, while V92M-/- homozygote r variant cells were generally shown to have greater dendricity and express higher DCT than the WT cells, even at basal levels.
Simultaneous purifying selection on the ancestral MC1R allele and positive selection on the melanoma-risk allele V60L in south Europeans.
different frequencies for the melanoma-risk allele V60L (a mutation also associated to red hair and fair skin and even blonde hair)
All of the investigated variants showed positive associations with NMSC, with consistent significant results obtained for V60L, D84E, V92M, R151C, R160W, R163Q and D294H: SOR (95%CI) ranged from 1.42 (1.19-1.70) for V60L to 2.66 (1.06-6.65) for D84E variant.
The characterization of the melanocortin 1 receptor (MC1R) expressed on human melanocytes and the findings that certain mutations in the POMC gene or the MC1R gene result in red hair phenotype underscore the significance of melanocortins and MC1R in regulating human pigmentation.
We describe a minisequencing protocol for screening DNA samples for the presence of 12 mutations in the human melanocortin 1 receptor gene (MC1R), eight of which are associated with the red hair phenotype.
The human MC1R gene is highly polymorphic and certain allelic variants of the gene are associated with red hair phenotype, melanoma and non-melanoma skin cancer.
Thus, at least in Spain, regions at opposite ends of the incident UV-B radiation distribution show significantly different frequencies for the melanoma-risk allele V60L (a mutation also associated to red hair and fair skin and even blonde hair), with higher frequency of V60L at those regions of lower incident UV-B radiation.
These loss-of-function mutations have been associated with red hair phenotype and increased risk for skin cancer.
Alleles associated with the red hair color (RHC) phenotype and with the risk of melanoma were examined.
Thus, at least in Spain, regions at opposite ends of the incident UV-B radiation distribution show significantly different frequencies for the melanoma-risk allele V60L (a mutation also associated to red hair and fair skin and even blonde hair), with higher frequency of V60L at those regions of lower incident UV-B radiation.
The combination of the prediction tools results in 14 nsSNPs indicated as the most damaging mutations in MC1R (L48P, R67W, H70Y, P72L, S83P, R151H, S172I, L206P, T242I, G255R, P256S, C273Y, C289R and R306H); C273Y showed to be highly damaging in SIFT, Polyphen-2, MutPred, PANTHER and PROVEAN scores.
In stratified analysis, there was no consistent pattern of association between MC1R and NMSC by skin type, but we consistently observed higher SORs for subjects without red hair.
These results indicate that reduced receptor coupling activity may not be the only contributing factor to the genetic association between the MC1R variants and the RHC phenotype, with MC1R polymorphisms now linked to a change in receptor localization.
Here we used 11 computational tools based on different approaches to predict the damage-associated non-synonymous single nucleotide polymorphisms (nsSNPs) in the coding region of the human MC1R gene.
Variants of the melanocortin 1 receptor (MC1R) gene are common in individuals with red hair and fair skin, but the relative contribution to these pigmentary traits in heterozygotes, homozygotes and compound heterozygotes for variants at this locus from the multiple alleles present in Caucasian populations is unclear.
Here we show that a missense mutation in the coatomer protein complex, subunit alpha (COPA), a gene with previously no known role in pigmentation synthesis, is completely associated with Dominant Red in Holstein dairy cattle.
Coat color in Holstein dairy cattle is primarily controlled by the melanocortin 1 receptor (MC1R) gene, a central determinant of black (eumelanin) vs. red/brown pheomelanin synthesis across animal species.
The human MC1R gene is highly polymorphic and certain allelic variants of the gene are associated with red hair phenotype, melanoma and non-melanoma skin cancer.
Several MC1R variant alleles are associated with red hair, fair skin and increased skin cancer risk.
Prediction of the damage-associated non-synonymous single nucleotide polymorphisms in the human MC1R gene.
We performed a meta-analysis on the association between the 9 most studied MC1R variants (p.V60L, p.D84E, p.V92M, p.R142H, p.R151C, p.I155T, p.R160W, p.R163Q and p.D294H) and melanoma and/or red hair, fair skin phenotype.
Altered cell surface expression of human MC1R variant receptor alleles associated with red hair and skin cancer risk.
",What phenotype is associated with the V60L mutation in the human MC1R gene?,"The characterization of the melanocortin 1 receptor (MC1R) expressed on human melanocytes and the findings that certain mutations in the POMC gene or the MC1R gene result in red hair phenotype underscore the significance of melanocortins and MC1R in regulating human pigmentation. We describe a minisequencing protocol for screening DNA samples for the presence of 12 mutations in the human melanocortin 1 receptor gene (MC1R), eight of which are associated with the red hair phenotype. The human MC1R gene is highly polymorphic and certain allelic variants of the gene are associated with red hair phenotype, melanoma and non-melanoma skin cancer. Thus, at least in Spain, regions at opposite ends of the incident UV-B radiation distribution show significantly different frequencies for the melanoma-risk allele V60L (a mutation also associated to red hair and fair skin and even blonde hair), with higher frequency of V60L at those regions of lower incident UV-B radiation. These loss-of-function mutations have been associated with red hair phenotype and increased risk for skin cancer. Alleles associated with the red hair color (RHC) phenotype and with the risk of melanoma were examined.",,summary
"mTOR N-terminal heat repeat domain
TOG5-specific N-terminal HEAT repeat
DNA-dependent protein kinase catalytic subunit (DNA-PKcs) is central to the regulation of the DNA damage response and repair through nonhomologous end joining. The structure has proved challenging due to its large size and multiple HEAT repeats.
HEAT repeat-containing protein 1 (HEATR1)
The first 1,300 residues of Tor form a HEAT repeat-containing α-solenoid with four distinct segments: a highly curved 800-residue N-terminal 'spiral', followed by a 400-residue low-curvature 'bridge' and an extended 'railing' running along the bridge leading to the 'cap' that links to FAT region.
Rif1 proteins are large and characterized by N-terminal HEAT repeats, predicted to form an elongated alpha-helical structure
B56γ contains 18 α-helices that are organized into eight HEAT (Huntington-elongation-A subunit-TOR) repeat motifs.
Here, we reveal a remarkable complexity in the unfolding of giant HEAT-repeat protein PR65/A,
A HEAT-repeat superhelix within SF3b155 plays a key role in branch site recognition.
The HEAT-repeat protein Pds5B
",List proteins with HEAT repeats,"mTOR,
TOG5, 
DNA-PKcs,
HEATR1,
Rif1,
B56γ,
PR65/A,
SF3b155,
Pds5B",mTOR | TOG5 | DNA-PKcs | HEATR1 | Rif1 | B56γ | PR65/A | SF3b155 | Pds5B,list
"Analysis of Protein Stability by the Cycloheximide Chase Assay.
Comparison of protein stability in eukaryotic cells has been achieved by cycloheximide, which is an inhibitor of protein biosynthesis due to its prevention in translational elongation. It is broadly used in cell biology in terms of determining the half-life of a given protein and has gained much popularity in cancer research. Here we present a full cycloheximide chase assay in our laboratory using a lung adenocarcinoma cell line, CL1-5, as a model.
. In addition, cycloheximide chase assay revealed that the half-life of VE-cadherin protein was dramatically reduced by Cullin 3 depletion
After blocking transcription and translation processes with actinomycin D and cycloheximide,
The cycloheximide chase assay revealed that an S410L mutation in the Kelch domain significantly decreased the intracellular stability
Cycloheximide chase assay showed a decrease in the half-life of KLF8 protein
SMURF2 alone reduced the protein stability of KLF5 as shown by cycloheximide chase assay, indicating that SMURF2 specifically destabilizes KLF5.
","What is the aim of  perfoming a ""cycloheximide chase assay""?","Comparison of protein stability in eukaryotic cells has been achieved by cycloheximide, which is an inhibitor of protein biosynthesis due to its prevention in translational elongation. It is broadly used in cell biology in terms of determining the half-life of a given protein and has gained much popularity in cancer research.",,summary
"Exosomes are small extracellular membrane-based vesicles with a variety of cargoes that are involved in numerous physiological and pathological processes in the nervous system.
Exosomes are a subset of extracellular vesicles (EVs) that have important roles in intercellular communication. They contain and carry bioactive molecules within their membranes which are delivered to target cells.
Extracellular vesicles (EVs) are released by cells and can be found in cell culture supernatants and biofluids. EVs carry proteins, nucleic acids, and other cellular components and can deliver these to nearby or distant cells, making EVs of interest as both disease biomarkers and therapeutic targets
Exosomes are released by cells as self-contained vesicles with an intact lipid bilayer that encapsulates a small portion of the parent cell.
Exosomes are a type of cell-derived extracellular nanovesicle.
Exosomes are small extracellular vesicles released to the extracellular milieu through fusion of multivesicular bodies with the plasma membrane.
Exosomes are natural products released from many sources and play a role in antigen presentation, immunoregulation, and signal transduction.
Exosomes, cell-derived vesicles encompassing lipids, DNA, proteins coding genes and noncoding RNAs (ncRNAs) are present in diverse body fluids.
Exosomes are 60-80 nm vesicles of endocytic origin.
Exosomes are small membrane vesicles, secreted by most cell types from multivesicular endosomes, and thought to play important roles in intercellular communications.
Exosomes are extracellular vesicles first described as such 30 years ago and since implicated in cell-cell communication and the transmission of disease states, and explored as a means of drug discovery.
Exosomes are extracellular vesicles released upon fusion of multivesicular bodies(MVBs) with the cellular plasma membrane.
Exosomes are small vesicles with an average diameter of 100 nm that are produced by many, if not all, cell types.
The exosome, a molecular machine for controlled RNA degradation in both nucleus and cytoplasm.
Exosomes are part of the endocytic system,which is tightly regulated and able to respond to several stimuli that lead to alterations in the composition of its sub-compartments.
Exosomes were shown to contain selectively sorted functional proteins, lipids, and RNAs, mediating cell-to-cell communications and hence playing a role in the physiology of the healthy and diseased organism.
Exosomes are nano-sized vesicles of endocytic origin released into the extracellular space upon fusion of multivesicular bodies with the plasma membrane.
Exosomes are small membrane vesicles that are secreted by a multitude of cell types as a consequence of fusion of multivesicular late endosomes/lysosomes with the plasma membrane.
Exosomes are extracellular vesicles released by the vast majority of cell types both in vivo and ex vivo, upon the fusion of multivesicular bodies (MVBs) with the cellular plasma membrane.
An exosome (30-150 nm size) is a cell-derived vesicle.
Exosomes are a subtype of vesicles released by cells of both healthy and neoplastic origin.
PURPOSE: Exosomes are small membrane vesicles (30-100nm in diameter) secreted by cells into extracellul
Exosome is a mechanism of intercellular drug transfer: Application of quantitative pharmacology.
Exosomes are the newest family member of 'bioactive vesicles' that function to promote intercellular communication.
Exosomes are nanosized membrane vesicles released by fusion of an organelle of the endocytic pathway, the multivesicular body, with the plasma membrane.
Exosomes are nano-sized membrane vesicles (50-120 nm), which are released from a wide variety of cells.
Exosomes are small extracellular vesicles (EVs) secreted by many cell types in both normal and pathogenic circumstances.
Exosomes are nanovesicles originating from late endosomal compartments and secreted by most living cells in ex vivo cell culture conditions.
Exosomes are nanosized membrane particles that are secreted by cells that transmit information from cell to cell.
he exosome is a promising biomarker carrying many kinds of membrane proteins with huge heterogeneity, so the sensitive and multiplex analysis of exosomes is very significant for diseas
The RNA exosome is an evolutionarily conserved 3'-5' exoribonucleolytic protein complex involved in processing and degradation of different classes of nuclear and cytoplasmic RNAs, and, therefore, important for the posttranscriptional control of gene expression.
",What is an exosome?,Exosomes are a subset of extracellular vesicles (EVs) that have important roles in intercellular communication. They contain and carry bioactive molecules within their membranes which are delivered to target cells.,Exosomes are a subset of extracellular vesicles (EVs) that have important roles in intercellular communication. They contain and carry bioactive molecules within their membranes which are delivered to target cells.,factoid
"Recent comparative studies have begun to investigate the evolution of the sequence architecture within enhancers.
A detailed analysis of the fast-evolving sparkling enhancer in Drosophila now identifies key compensatory mechanisms and 'grammar' elements that are critical for maintaining functional integrity.
The trend is one of high divergence of cis-regulatory elements between species, possibly compensated by extensive creation and loss of regulatory elements and rewiring of their target genes.
However, existing models specifically designed for regulatory sequences consider the independent evolution of individual transcription factor (TF)-binding sites, ignoring that the function and evolution of a binding site depends on its context, typically the cis-regulatory module (CRM) in which the site is located
We summarize recent case studies and genome-wide investigations that have uncovered diverse mechanisms though which new enhancers arise
We report that rapid evolution of enhancers is a universal feature of mammalian genomes.
Our data further reveal that recently evolved enhancers can be associated with genes under positive selection, demonstrating the power of this approach for annotating regulatory adaptations in genomic sequences.
",Are human enhancers or promoters evolving faster?,"Our data further reveal that recently evolved enhancers can be associated with genes under positive selection, demonstrating the power of this approach for annotating regulatory adaptations in genomic sequences. We report that rapid evolution of enhancers is a universal feature of mammalian genomes. ",enhancers,factoid
"two potential reversal agents for oral direct factor Xa inhibitors (andexanet alfa and ciraparantag) are at various stages of clinical development. Idarucizumab, a reversal agent for the oral direct thrombin inhibitor dabigatran, was approved by FDA in October 2015.
Idarucizumab and andexanet alfa have been reported to produce anticoagulation reversal effects within minutes of administration.
Idarucizumab has recently been approved in United States for dabigatran reversal, whereas andexanet alfa is expected to get approved in the near future for reversal of oral factor Xa inhibitors.
. Aripazine has shown promising results to reverse the effects of LMWH, fondaparinux, and direct oral anticoagulants but is still in the developmental phase.
Protamine sulfate reverses the effect of unfractionated heparin completely and of low-molecular-weight heparin (LMWH) partially.
working out pharmaceutical agents (andexanet alpha, idarucizumab, aripazine) being antidotes to direct thrombin inhibitor and the factor Xa inhibitors.
","What are the 3 antidotes for anticoagulant (anti-blood clotting) drugs, including factor Xa inhibitors, as of November 2017."," two potential reversal agents for oral direct factor Xa inhibitors (andexanet alfa and ciraparantag) are at various stages of clinical development. Idarucizumab, a reversal agent for the oral direct thrombin inhibitor dabigatran, was approved by FDA in October 2015.",Idarucizumab | andexanet alfa | ciraparantag | Protamine sulfate | Aripazine,list
"In one family studied, inheritance of EBS is linked to the gene encoding keratin 14
In the first family, linkage was found to chromosome 17 markers flanking the keratin 14 gene (D17S74: Zmax = +2.45, theta = 0.10; COL1A1: Zmax = +0.97, theta = 0.00) and markers near the keratin 5 gene on chromosome 12 were excluded (D12S17: Z less than -2.0, theta = 0.08; COL2A1: Z less than -2.0, theta = 0.13). In contrast, the second family showed linkage to the region containing the keratin 5 gene (D12S17: Zmax = +1.37, theta = 0.08; COL2A1: Zmax = +0.33, theta = 0.15) and was not linked to the keratin 14 gene (D17S74: Z less than -2.0, theta = 0.14).
Keratin 14 gene mutations in patients with epidermolysis bullosa simplex.
We have systematically scanned genomic sequences of one of these keratins, keratin 14, for mutations in patients from 49 apparently independent kindreds using single-strand conformation polymorphism analysis.
Keratin 14 gene point mutation in the Köbner and Dowling-Meara types of epidermolysis bullosa simplex as detected by the PASA method.
Recent advances in molecular biology have enabled the association of epidermolysis bullosa simplex (EBS) with point mutations of keratin 14 and/or keratin 5 genes to be established.
Homozygous deletion mutations in the plectin gene (PLEC1) in patients with epidermolysis bullosa simplex associated with late-onset muscular dystrophy.
In this study, we report two patients with EB-MD, each with a homozygous deletion mutation in the plectin gene, PLEC1.
A homozygous nonsense mutation in the PLEC1 gene in patients with epidermolysis bullosa simplex with muscular dystrophy.
A compound heterozygous one amino-acid insertion/nonsense mutation in the plectin gene causes epidermolysis bullosa simplex with plectin deficiency.
The KRT5 and KRT14 genes encode the proteins keratin 5 and 14, respectively, which are the primary structural components of the 10-nm intermediate filaments of the mitotic epidermal basal cells.
Keratin 5 and keratin 14 are known to be essential for the basal keratinocyte cytoskeleton and are defective in several forms of epidermolysis bullosa simplex.
Severe palmo-plantar hyperkeratosis in Dowling-Meara epidermolysis bullosa simplex caused by a mutation in the keratin 14 gene (KRT14).
Mutant keratins 5 or 14 are implicated in the etiology of epidermolysis bullosa simplex (EBS).
Epidermolysis bullosa simplex (EBS) is mainly caused by mutations in the KRT5 and KRT14 genes.
Verrucous carcinoma in epidermolysis bullosa simplex is possibly associated with a novel mutation in the keratin 5 gene.
Epidermolysis bullosa simplex (EBS) is a rare genodermatosis resulting from multiple gene mutations, including KRT5 and KRT14.
Study of a family with epidermolysis bullosa simplex resulting from a novel mutation of KRT14 gene
This is the first report of EBS-generalized intermediate in a newborn with de novo KRT5 gene mutation and KRT14 gene polymorphism, and no familial history of epidermolysis.
Epidermolysis bullosa simplex (EBS) is an inherited skin disorder caused by mutations in the keratin 5 (KRT5) and keratin 14 (KRT14) genes, with fragility of basal keratinocytes leading to epidermal cytolysis and blistering.In this study, we characterized mutations in KRT5 and KRT14 genes in patients with EBS and investigated their possible structure-function correlations.Mutations were characterized using polymerase chain reaction (PCR) and DNA sequencing.
Epidermolysis bullosa simplex (EBS) is a mechanobullous genodermatosis that may be caused by mutations in the genes KRT5 and KRT14 encoding the basal epidermal keratins 5 (K5) and 14 (K14).
Basal epidermolysis bullosa simplex (EBS) is a hereditary skin blistering disorder resulting in most cases from missense mutations in the keratin 5 (KRT5) or keratin 14 (KRT14) genes.
Epidermolysis bullosa simplex is a hereditary skin blistering disorder caused by mutations in the KRT5 or KRT14 genes.
BACKGROUND Basal epidermolysis bullosa simplex (EBS) is a hereditary skin blistering disorder resulting in most cases from missense mutations in the keratin 5 (KRT5) or keratin 14 (KRT14) genes.
Epidermolysis bullosa simplex is a group of blistering skin disorders caused by defects in one of the keratin genes, KRT5 and KRT14.
Epidermolysis bullosa simplex is an autosomal dominant inherited skin blistering disorder caused by mutations in the genes KRT5 or KRT14 coding for the basal epidermal keratins 5 and 14, respectively.
",Which genes are associated with Epidermolysis Bullosa Simplex?,"In one family studied, inheritance of EBS is linked to the gene encoding keratin 14",Keratin 14 | Keratin 5 | Plectin,list
"Mast cells (MCs) may play an important role in plaque destabilization and atherosclerotic coronary complications.
Mast cells are significantly involved in IgE-mediated allergic reactions
Mast cells (MCs) are innate immune cells that are a major source of costimulatory signals and inflammatory mediators in the intestinal mucosa
Mast cells and basophils are innate immune cells with overlapping functions that contribute to anti-helminth immunity.
Mast cells are widely distributed throughout the body, predominantly near blood vessels and nerves, and express effector functions in allergic reactions, inflammatory diseases, and host defense.
The mast cell is the cellular basis for immediate hypersensitivity reactions.
Mast cells are important elements of the body response to foreign antigens, being those represented either by small molecules (allergic response) or harbored by foreign microorganisms (response to parasite infection).
Mast cells are ubiquitous in the body and multifunctional immune cells; they are known to be primary responders in allergic reactions, orchestrating strong responses to minute amounts of allergens.
In IgE-associated biological responses, the crosslinking of Fc&#949;RI-bound IgE with multivalent antigens initiate the activation of mast cells by promoting aggregation of FceRI.
Mast cell activation has been shown to be an initiator and a key determinant of foreign body reactions
Mast cells are one of the major effector cells in the pathogenesis of the immediate-type hypersensitivity reaction in a number of non-allergic immune disorders as well as in normal physiological processes.
Mast cells act as sensors in innate immunity and as effector cells in adaptive immune reactions.
: Allergic rhinitis is characterized by the epithelial accumulation of cells, particularly mast cells and eosinophils.
Mast cells are important effector cells of the immune system and recent studies show that they have immunomodulatory roles in diverse processes in both health and disease.
Biological functions of mast cells appear to include a role in innate immunity, involvement in host defense mechanisms against parasitic infestations, immunomodulation of the immune system, and tissue repair and angiogenesis
Mast cells have long been known to play a detrimental role in the pathogenesis of IgE-associated allergic disorders by their ability to release a wide variety of pro-inflammatory mediators.
Mast cells are long-lived resident cells that are of great importance in an allergic reaction.
Several chronic inflammatory diseases are associated with increased mast cell numbers and upregulation of the TNF receptor family member CD30, but the role of elevated CD30 expression is poorly understood.
",What biologic process in the body is associated with Mast cells?,Mast cells (MCs) are innate immune cells that are a major source of costimulatory signals and inflammatory mediators in the intestinal mucosa. ,allergy,factoid
"short-wave UVC (200-280 nm), medium-wave UVB (280-320 nm), and long-wave UVA (320-400 nm).
short-wave UVC (200-280 nm), mid-wave UVB (280-320 nm), and long-wave UVA (320- 400 nm)
solar UV, largely confined to the UVB (290-320 nm) and short-wavelength UVA (320-340 nm) region, there is currently no agreed-upon method to measure broad-spectrum protection against long-wavelength UVA (340-400 nm).
Ultraviolet radiation is made up of UV-C, UV-B, and UV-A.
",What are the 3 types of ultraviolet (UV) solar radiation?,"Solar ultraviolet (UV) radiation, an ubiquitous environmental carcinogen, is classified depending on the wavelength, into three regions; short-wave UVC (200-280 nm), mid-wave UVB (280-320 nm), and long-wave UVA (320- 400 nm)",short wave UVC (200-280 nm) | mid-wave UVB (280-320 nm) | long-wave UVA (320- 400 nm),list
